"\"id_1\",\"id_2\",\"cmp_fname_c1\",\"cmp_fname_c2\",\"cmp_lname_c1\",\"cmp_lname_c2\",\"cmp_sex\",\"cmp_bd\",\"cmp_bm\",\"cmp_by\",\"cmp_plz\",\"is_match\""
"3148,8326,1,?,1,?,1,1,1,1,1,TRUE"
"14055,94934,1,?,1,?,1,1,1,1,1,TRUE"
"33948,34740,1,?,1,?,1,1,1,1,1,TRUE"
"946,71870,1,?,1,?,1,1,1,1,1,TRUE"
"64880,71676,1,?,1,?,1,1,1,1,1,TRUE"
"25739,45991,1,?,1,?,1,1,1,1,1,TRUE"
"62415,93584,1,?,1,?,1,1,1,1,0,TRUE"
"27995,31399,1,?,1,?,1,1,1,1,1,TRUE"
"4909,12238,1,?,1,?,1,1,1,1,1,TRUE"
"15161,16743,1,?,1,?,1,1,1,1,1,TRUE"
"31703,37310,1,?,1,?,1,1,1,1,1,TRUE"
"30213,36558,1,?,1,?,1,1,1,1,1,TRUE"
"56596,56630,1,?,1,?,1,1,1,1,1,TRUE"
"16481,21174,1,?,1,?,1,1,1,1,1,TRUE"
"32649,37094,1,?,1,?,1,1,1,1,1,TRUE"
"34268,37260,1,?,1,?,1,1,1,1,1,TRUE"
"66117,69253,1,?,1,?,1,1,1,1,0,TRUE"
"2771,31982,1,?,1,?,0,1,1,1,1,TRUE"
"23557,29673,1,?,1,?,1,1,1,1,1,TRUE"
"37156,39557,1,?,1,?,1,1,1,1,1,TRUE"
"41860,44112,1,?,1,?,1,1,1,1,1,TRUE"
"39712,57158,1,?,1,?,1,1,1,1,0,TRUE"
"69257,77150,1,?,1,?,1,1,1,1,0,TRUE"
"27879,47029,1,?,1,?,1,1,1,1,1,TRUE"
"18565,20062,1,?,1,?,1,1,1,1,1,TRUE"
"36827,51068,1,?,1,?,1,1,1,1,1,TRUE"
"66157,69409,1,?,1,?,1,1,1,1,1,TRUE"
"28580,33504,1,?,1,?,1,1,1,1,1,TRUE"
"77853,80668,1,?,1,?,1,1,1,1,1,TRUE"
"7509,7511,1,?,1,?,1,1,1,0,1,TRUE"
"7213,12575,1,?,1,?,1,1,1,1,1,TRUE"
"4403,14940,1,?,1,?,1,1,1,1,1,TRUE"
"69139,69140,1,?,1,?,1,1,1,1,1,TRUE"
"69999,81055,1,?,1,?,1,1,1,1,1,TRUE"
"15950,20096,1,?,1,?,1,1,1,1,1,TRUE"
"35242,75761,1,?,1,?,1,1,1,1,1,TRUE"
"57559,76925,1,?,1,?,1,1,1,1,1,TRUE"
"20691,21946,1,?,1,?,1,1,1,1,1,TRUE"
"22974,50870,1,?,1,?,1,1,1,1,1,TRUE"
"75961,85465,1,?,1,?,1,1,1,1,1,TRUE"
"21499,22591,1,?,1,?,1,1,1,1,1,TRUE"
"17838,19858,1,?,1,?,1,1,1,1,1,TRUE"
"3158,8337,1,1,1,?,1,1,1,1,1,TRUE"
"69310,99695,1,?,1,?,0,1,1,1,0,TRUE"
"38548,45955,1,?,1,?,1,1,1,1,1,TRUE"
"37431,76990,1,?,1,?,1,1,1,1,1,TRUE"
"60622,60649,1,?,1,?,1,1,1,1,1,TRUE"
"17571,31205,1,?,1,?,1,1,1,1,1,TRUE"
"25596,41075,1,?,1,?,1,1,1,1,1,TRUE"
