"\"id_1\",\"id_2\",\"cmp_fname_c1\",\"cmp_fname_c2\",\"cmp_lname_c1\",\"cmp_lname_c2\",\"cmp_sex\",\"cmp_bd\",\"cmp_bm\",\"cmp_by\",\"cmp_plz\",\"is_match\""
"39665,47651,1,?,1,?,1,1,1,1,1,TRUE"
"87861,87863,1,1,1,?,1,1,1,1,1,TRUE"
"59647,72384,1,?,1,?,1,1,1,1,1,TRUE"
"40802,45673,1,?,1,?,1,1,1,1,1,TRUE"
"19881,31376,1,?,1,?,1,1,1,1,1,TRUE"
"66804,73924,1,1,1,?,1,1,1,1,1,TRUE"
"20655,38080,1,?,1,?,1,1,1,1,1,TRUE"
"44343,49222,1,?,1,?,1,1,1,1,1,TRUE"
"34333,44059,1,?,1,?,1,1,1,1,1,TRUE"
"21728,25592,1,1,1,?,1,1,1,1,1,TRUE"
"35502,50311,0.8,?,1,?,1,1,1,1,1,TRUE"
"56471,75517,1,?,1,?,1,1,1,1,1,TRUE"
"94611,96016,1,?,1,?,1,1,1,1,1,TRUE"
"90136,93009,1,?,1,?,1,1,1,1,1,TRUE"
"79071,79074,1,?,1,?,1,1,1,1,1,TRUE"
"7542,85411,1,?,1,?,1,1,1,1,1,TRUE"
"26494,34164,1,?,1,?,1,1,1,1,1,TRUE"
"88097,88099,1,?,1,?,1,1,1,1,1,TRUE"
"20579,23794,1,?,1,?,1,1,1,1,1,TRUE"
"15444,47004,1,?,1,?,1,1,1,1,1,TRUE"
"27188,27189,1,1,1,?,1,1,1,1,1,TRUE"
"19650,54090,1,?,1,?,1,1,1,1,1,TRUE"
"28471,58317,1,?,1,?,1,1,1,1,1,TRUE"
"41351,43321,1,?,1,?,1,1,1,1,1,TRUE"
"30433,70663,1,?,1,?,1,1,1,1,1,TRUE"
"83310,83328,1,?,1,?,1,1,1,1,1,TRUE"
"18622,23774,1,?,1,?,1,1,1,1,1,TRUE"
"39540,49280,1,?,1,?,1,1,1,1,1,TRUE"
"4712,62799,1,?,1,?,1,1,1,1,1,TRUE"
"18335,28293,1,?,1,?,1,1,1,1,1,TRUE"
"17964,22118,1,?,1,?,1,1,1,1,1,TRUE"
"83109,84616,1,?,1,?,1,1,1,1,1,TRUE"
"93353,93384,1,?,1,?,1,1,1,1,1,TRUE"
"18658,27688,1,?,1,?,1,1,1,1,1,TRUE"
"18463,59062,1,?,1,?,1,1,1,1,1,TRUE"
"43624,88490,1,?,1,?,1,1,1,1,1,TRUE"
"41950,48117,1,?,1,?,1,1,1,1,1,TRUE"
"44238,47163,1,?,1,?,1,1,1,1,1,TRUE"
"66949,66950,1,?,1,?,1,1,1,1,1,TRUE"
"23197,29961,1,?,1,?,1,1,1,1,1,TRUE"
"39482,44051,1,?,1,?,1,1,1,1,1,TRUE"
"26340,59325,1,?,1,?,1,1,1,1,0,TRUE"
"21898,28950,1,?,1,?,1,1,1,1,1,TRUE"
"11336,13560,1,?,1,?,1,1,1,1,1,TRUE"
"20924,27939,1,?,1,?,1,1,1,1,1,TRUE"
"29100,36336,1,1,1,?,1,1,1,1,1,TRUE"
"7341,7365,1,?,1,?,1,1,1,1,1,TRUE"
"43356,86666,1,?,1,?,1,1,1,1,1,TRUE"
"18378,29662,1,?,1,?,1,1,1,1,1,TRUE"
