"\"id_1\",\"id_2\",\"cmp_fname_c1\",\"cmp_fname_c2\",\"cmp_lname_c1\",\"cmp_lname_c2\",\"cmp_sex\",\"cmp_bd\",\"cmp_bm\",\"cmp_by\",\"cmp_plz\",\"is_match\""
"90115,90117,1,?,1,?,1,1,1,1,1,TRUE"
"70471,70942,1,?,1,?,1,1,1,1,1,TRUE"
"47295,52851,1,?,1,?,1,1,1,1,0,TRUE"
"17670,31890,1,?,1,?,1,1,1,1,1,TRUE"
"94926,96596,1,?,1,?,1,1,1,1,1,TRUE"
"38783,83857,1,?,1,?,1,1,1,1,1,TRUE"
"24078,28473,1,?,1,?,1,1,1,1,1,TRUE"
"13112,28580,1,?,1,?,1,1,1,1,1,TRUE"
"91034,96805,1,?,1,?,1,1,1,1,1,TRUE"
"21254,62066,1,?,1,?,1,1,1,1,1,TRUE"
"30650,32008,1,?,1,?,1,1,1,1,1,TRUE"
"582,29339,1,1,1,?,1,1,1,1,1,TRUE"
"33883,44048,1,?,1,?,1,1,1,1,1,TRUE"
"75250,80943,1,?,1,?,1,1,1,1,1,TRUE"
"34682,34683,1,?,1,?,1,1,1,1,1,TRUE"
"55917,60356,1,?,1,?,1,1,1,1,1,TRUE"
"22293,27865,1,?,1,?,1,1,1,1,1,TRUE"
"25188,45518,1,?,1,?,1,1,1,1,1,TRUE"
"22701,33693,1,?,1,?,1,1,1,1,1,TRUE"
"31202,76873,1,?,1,?,1,1,1,1,1,TRUE"
"38710,72336,1,1,1,?,1,1,1,1,1,TRUE"
"68701,68702,1,?,1,?,1,1,1,1,1,TRUE"
"28141,56859,1,?,1,?,1,1,1,1,1,TRUE"
"49876,54212,1,?,1,?,1,1,1,1,1,TRUE"
"32441,32442,1,?,1,?,1,1,1,1,1,TRUE"
"85033,99886,1,?,1,?,1,1,1,1,1,TRUE"
"46554,48594,1,1,1,?,1,1,1,1,1,TRUE"
"25597,29748,1,?,1,?,1,1,1,1,1,TRUE"
"17988,20448,1,?,1,?,1,1,1,1,1,TRUE"
"27457,33456,1,?,1,?,1,1,1,1,1,TRUE"
"73856,73878,1,?,1,?,1,1,1,1,1,TRUE"
"30197,47967,1,?,1,?,1,1,1,1,1,TRUE"
"2244,11834,1,?,1,?,1,1,1,1,1,TRUE"
"18702,52636,1,?,1,?,1,1,1,1,1,TRUE"
"26801,29420,1,?,1,?,1,1,1,1,1,TRUE"
"33549,50446,1,?,1,?,1,1,1,1,1,TRUE"
"94479,94480,1,?,1,1,1,1,1,1,1,TRUE"
"19030,52199,1,?,1,?,1,1,1,1,1,TRUE"
"12769,14084,1,?,1,?,1,1,1,1,1,TRUE"
"16662,22535,1,1,1,?,1,1,1,1,1,TRUE"
"91,10025,1,?,1,?,1,1,1,1,1,TRUE"
"3102,54095,1,?,1,?,1,1,1,1,1,TRUE"
"23660,30178,1,?,1,?,1,1,1,1,1,TRUE"
"21459,27426,1,?,1,?,1,1,1,1,1,TRUE"
"28229,29342,1,?,1,?,1,1,1,1,1,TRUE"
"42485,78945,1,?,1,?,1,1,1,1,1,TRUE"
"12298,91943,1,1,1,?,1,1,1,1,1,TRUE"
"55281,55415,1,?,1,?,1,1,1,1,1,TRUE"
"58266,63199,1,?,1,?,1,1,1,1,1,TRUE"
