Customer_ID	Product
C894421353	SKU764209
C894421353	SKU764210
C894408000	SKU764209
C894408000	SKU764210
C894408000	SKU764211
C894363390	SKU764209
C894376626	SKU764209
C894363390	SKU764210
C894406801	SKU764209
C894406801	SKU764210
C894362181	SKU764209
C894398340	SKU764209
C894398340	SKU764211
C894421353	SKU764209
C894421353	SKU764210
C894408000	SKU764209
C894408000	SKU764210
C894408000	SKU764211
C894363390	SKU764209
C894421353	SKU764209
C894421353	SKU764210
C894408000	SKU764209
C894408000	SKU764210
C894408000	SKU764211
C894363390	SKU764209
C894421353	SKU764209
C894421353	SKU764210
C894408000	SKU764209
C894408000	SKU764210
C894408000	SKU764211
C894363390	SKU764209
C894421353	SKU764209
C894421353	SKU764210
C894408000	SKU764209
C894408000	SKU764210
C894408000	SKU764211
C894363390	SKU764209
C894421353	SKU764209
C894421353	SKU764210
C894408000	SKU764209
C894408000	SKU764210
C894408000	SKU764211
C894363390	SKU764209
C894421353	SKU764209
C894421353	SKU764210
C894408000	SKU764209
C894408000	SKU764210
C894408000	SKU764211
C894363390	SKU764209
C894421353	SKU764209
C894421353	SKU764210
C894408000	SKU764209
C894408000	SKU764210
C894408000	SKU764211
C894363390	SKU764209
C894421353	SKU764209
C894421353	SKU764210
C894408000	SKU764209
C894408000	SKU764210
C894408000	SKU764211
C894363390	SKU764209
C894421353	SKU764209
C894421353	SKU764210
C894408000	SKU764209
C894408000	SKU764210
C894408000	SKU764211
C894363390	SKU764209
C894421353	SKU764209
C894421353	SKU764210
C894408000	SKU764209
C894408000	SKU764210
C894408000	SKU764211
C894363390	SKU764209
C894421353	SKU764209
C894421353	SKU764210
C894408000	SKU764209
C894408000	SKU764210
C894408000	SKU764211
C894363390	SKU764209
C894421353	SKU764209
C894421353	SKU764210
C894408000	SKU764209
C894408000	SKU764210
C894408000	SKU764211
C894363390	SKU764209
C894421353	SKU764209
C894421353	SKU764210
C894408000	SKU764209
C894408000	SKU764210
C894408000	SKU764211
C894363390	SKU764209
