film_id,title,inventory_id,rental_date,return_date,rental_time,customer_id,rental_rate,rating,category_name,amount
1,"ACADEMY DINOSAUR",4,"2005-08-21 18:32:42","2005-08-23 21:09:42",2,344,0.99,PG,Documentary,0.99
1,"ACADEMY DINOSAUR",3,"2005-08-22 23:56:37","2005-08-25 18:58:37",3,541,0.99,PG,Documentary,0.99
1,"ACADEMY DINOSAUR",2,"2005-08-23 01:01:01","2005-08-30 20:08:01",7,359,0.99,PG,Documentary,1.99
1,"ACADEMY DINOSAUR",2,"2005-07-07 10:41:31","2005-07-11 06:25:31",4,161,0.99,PG,Documentary,0.99
1,"ACADEMY DINOSAUR",8,"2005-07-31 22:08:29","2005-08-06 16:59:29",6,8,0.99,PG,Documentary,0.99
1,"ACADEMY DINOSAUR",2,"2005-05-30 20:21:07","2005-06-06 00:36:07",7,411,0.99,PG,Documentary,1.99
1,"ACADEMY DINOSAUR",7,"2005-07-29 09:41:38","2005-08-05 05:30:38",7,487,0.99,PG,Documentary,1.99
1,"ACADEMY DINOSAUR",1,"2005-08-02 20:13:10","2005-08-11 21:35:10",9,518,0.99,PG,Documentary,3.99
1,"ACADEMY DINOSAUR",7,"2005-06-15 02:57:51","2005-06-20 01:41:51",5,345,0.99,PG,Documentary,0.99
1,"ACADEMY DINOSAUR",6,"2005-07-07 20:59:06","2005-07-09 00:04:06",2,44,0.99,PG,Documentary,0.99
1,"ACADEMY DINOSAUR",6,"2005-05-27 07:03:28","2005-05-31 08:01:28",4,587,0.99,PG,Documentary,0.99
1,"ACADEMY DINOSAUR",4,"2005-08-02 00:47:19","2005-08-03 00:02:19",1,301,0.99,PG,Documentary,0.99
1,"ACADEMY DINOSAUR",3,"2005-07-31 21:36:07","2005-08-03 23:59:07",3,39,0.99,PG,Documentary,0.99
1,"ACADEMY DINOSAUR",2,"2005-07-30 22:02:34","2005-08-06 02:09:34",7,581,0.99,PG,Documentary,1.99
1,"ACADEMY DINOSAUR",8,"2005-08-18 18:36:16","2005-08-22 22:01:16",4,34,0.99,PG,Documentary,0.99
1,"ACADEMY DINOSAUR",2,"2005-06-17 20:24:00","2005-06-23 17:45:00",6,170,0.99,PG,Documentary,0.99
1,"ACADEMY DINOSAUR",7,"2005-08-22 00:44:08","2005-08-27 02:18:08",5,92,0.99,PG,Documentary,0.99
1,"ACADEMY DINOSAUR",1,"2005-08-21 21:27:43","2005-08-30 22:26:43",9,279,0.99,PG,Documentary,3.99
1,"ACADEMY DINOSAUR",7,"2005-07-10 13:07:31","2005-07-16 13:03:31",6,406,0.99,PG,Documentary,0.99
1,"ACADEMY DINOSAUR",1,"2005-07-08 19:03:15","2005-07-11 21:29:15",3,431,0.99,PG,Documentary,0.99
1,"ACADEMY DINOSAUR",6,"2005-07-27 07:51:11","2005-08-01 04:08:11",5,252,0.99,PG,Documentary,0.99
1,"ACADEMY DINOSAUR",6,"2005-06-21 00:30:26","2005-06-28 03:42:26",7,597,0.99,PG,Documentary,1.99
2,"ACE GOLDFINGER",10,"2005-08-22 16:59:05","2005-08-30 17:01:05",8,139,4.99,G,Horror,9.99
2,"ACE GOLDFINGER",10,"2005-07-07 19:46:51","2005-07-08 21:55:51",1,145,4.99,G,Horror,4.99
2,"ACE GOLDFINGER",11,"2005-08-02 04:41:17","2005-08-09 02:13:17",7,180,4.99,G,Horror,8.99
2,"ACE GOLDFINGER",10,"2005-07-28 05:04:47","2005-08-05 05:12:47",8,82,4.99,G,Horror,9.99
2,"ACE GOLDFINGER",9,"2005-08-01 04:24:47","2005-08-04 05:36:47",3,271,4.99,G,Horror,4.99
2,"ACE GOLDFINGER",11,"2005-08-17 09:33:02","2005-08-24 05:03:02",7,533,4.99,G,Horror,8.99
3,"ADAPTATION HOLES",14,"2005-07-06 19:11:43","2005-07-11 21:50:43",5,277,2.99,NC-17,Documentary,2.99
3,"ADAPTATION HOLES",14,"2005-05-31 04:50:07","2005-06-02 01:53:07",2,25,2.99,NC-17,Documentary,2.99
3,"ADAPTATION HOLES",13,"2005-08-02 15:45:10","2005-08-03 21:14:10",1,247,2.99,NC-17,Documentary,2.99
3,"ADAPTATION HOLES",12,"2005-07-27 01:21:19","2005-07-29 20:33:19",2,224,2.99,NC-17,Documentary,2.99
3,"ADAPTATION HOLES",15,"2005-08-18 21:45:15","2005-08-24 15:52:15",6,178,2.99,NC-17,Documentary,2.99
3,"ADAPTATION HOLES",15,"2005-07-06 22:01:51","2005-07-12 21:35:51",6,147,2.99,NC-17,Documentary,2.99
3,"ADAPTATION HOLES",14,"2005-08-01 08:51:04","2005-08-10 12:12:04",9,1,2.99,NC-17,Documentary,4.99
3,"ADAPTATION HOLES",14,"2005-06-15 18:17:28","2005-06-16 15:47:28",1,100,2.99,NC-17,Documentary,2.99
3,"ADAPTATION HOLES",13,"2005-08-23 13:54:39","2005-08-26 10:17:39",3,269,2.99,NC-17,Documentary,2.99
3,"ADAPTATION HOLES",12,"2005-08-22 03:52:21","2005-08-25 04:50:21",3,417,2.99,NC-17,Documentary,2.99
3,"ADAPTATION HOLES",15,"2005-07-27 23:19:29","2005-07-29 23:04:29",2,316,2.99,NC-17,Documentary,2.99
3,"ADAPTATION HOLES",14,"2005-08-17 13:16:38","2005-08-18 11:21:38",1,65,2.99,NC-17,Documentary,2.99
4,"AFFAIR PREJUDICE",20,"2005-06-16 14:39:31","2005-06-19 15:37:31",3,24,2.99,G,Horror,2.99
4,"AFFAIR PREJUDICE",19,"2005-08-22 15:26:36","2005-08-31 10:47:36",9,111,2.99,G,Horror,6.99
4,"AFFAIR PREJUDICE",19,"2005-07-06 00:22:29","2005-07-07 22:15:29",1,459,2.99,G,Horror,2.99
4,"AFFAIR PREJUDICE",18,"2005-07-29 04:13:29","2005-08-04 07:09:29",6,148,2.99,G,Horror,3.99
4,"AFFAIR PREJUDICE",17,"2005-07-27 00:26:14","2005-08-03 20:00:14",7,418,2.99,G,Horror,4.99
4,"AFFAIR PREJUDICE",22,"2005-08-20 17:31:18","2005-08-24 11:33:18",4,464,2.99,G,Horror,2.99
4,"AFFAIR PREJUDICE",17,"2005-06-17 18:06:14","2005-06-22 23:52:14",5,197,2.99,G,Horror,2.99
4,"AFFAIR PREJUDICE",22,"2005-07-08 16:55:17","2005-07-15 19:34:17",7,562,2.99,G,Horror,4.99
4,"AFFAIR PREJUDICE",16,"2005-08-22 21:16:54","2005-08-31 00:38:54",9,560,2.99,G,Horror,6.99
4,"AFFAIR PREJUDICE",21,"2005-07-11 20:21:18","2005-07-19 15:56:18",8,66,2.99,G,Horror,5.99
4,"AFFAIR PREJUDICE",16,"2005-07-12 02:40:41","2005-07-16 04:56:41",4,184,2.99,G,Horror,2.99
4,"AFFAIR PREJUDICE",20,"2005-07-08 16:22:01","2005-07-15 18:29:01",7,73,2.99,G,Horror,4.99
4,"AFFAIR PREJUDICE",20,"2005-05-27 20:44:36","2005-06-02 02:43:36",6,261,2.99,G,Horror,3.99
4,"AFFAIR PREJUDICE",19,"2005-07-31 13:05:29","2005-08-08 12:33:29",8,239,2.99,G,Horror,5.99
4,"AFFAIR PREJUDICE",18,"2005-08-22 16:17:49","2005-08-25 20:12:49",3,216,2.99,G,Horror,2.99
4,"AFFAIR PREJUDICE",17,"2005-08-17 07:34:55","2005-08-18 04:07:55",1,151,2.99,G,Horror,2.99
4,"AFFAIR PREJUDICE",17,"2005-07-10 08:51:39","2005-07-12 14:44:39",2,302,2.99,G,Horror,2.99
4,"AFFAIR PREJUDICE",22,"2005-07-28 15:11:00","2005-07-31 15:46:00",3,449,2.99,G,Horror,2.99
4,"AFFAIR PREJUDICE",17,"2005-05-31 00:06:02","2005-06-06 02:30:02",6,150,2.99,G,Horror,3.99
4,"AFFAIR PREJUDICE",21,"2005-07-30 18:39:28","2005-07-31 15:39:28",1,501,2.99,G,Horror,2.99
4,"AFFAIR PREJUDICE",16,"2005-07-30 02:30:07","2005-08-02 08:24:07",3,268,2.99,G,Horror,2.99
4,"AFFAIR PREJUDICE",20,"2005-08-18 21:44:46","2005-08-19 21:58:46",1,397,2.99,G,Horror,2.99
5,"AFRICAN EGG",25,"2005-07-09 02:35:43","2005-07-17 02:05:43",8,497,2.99,G,Family,4.99
5,"AFRICAN EGG",24,"2005-07-28 07:26:14","2005-08-03 07:45:14",6,32,2.99,G,Family,2.99
5,"AFRICAN EGG",24,"2005-06-18 05:21:12","2005-06-26 09:19:12",8,410,2.99,G,Family,4.99
5,"AFRICAN EGG",23,"2005-08-02 09:08:44","2005-08-04 04:00:44",2,566,2.99,G,Family,2.99
5,"AFRICAN EGG",23,"2005-06-16 06:58:02","2005-06-23 11:24:02",7,489,2.99,G,Family,3.99
5,"AFRICAN EGG",25,"2005-07-31 12:50:24","2005-08-08 08:30:24",8,49,2.99,G,Family,4.99
5,"AFRICAN EGG",24,"2005-08-19 09:07:13","2005-08-27 07:49:13",8,127,2.99,G,Family,4.99
5,"AFRICAN EGG",24,"2005-07-09 18:16:08","2005-07-18 18:27:08",9,266,2.99,G,Family,5.99
5,"AFRICAN EGG",23,"2005-08-19 05:00:16","2005-08-26 06:12:16",7,336,2.99,G,Family,3.99
5,"AFRICAN EGG",23,"2005-07-12 08:36:22","2005-07-20 09:03:22",8,438,2.99,G,Family,4.99
5,"AFRICAN EGG",23,"2005-05-28 07:53:38","2005-06-04 12:45:38",7,106,2.99,G,Family,3.99
6,"AGENT TRUMAN",28,"2005-08-20 12:32:32","2005-08-29 10:48:32",9,209,2.99,PG,Foreign,8.99
6,"AGENT TRUMAN",27,"2005-08-17 17:02:42","2005-08-21 16:40:42",4,389,2.99,PG,Foreign,3.99
6,"AGENT TRUMAN",27,"2005-07-06 03:09:36","2005-07-12 02:15:36",6,355,2.99,PG,Foreign,5.99
6,"AGENT TRUMAN",26,"2005-08-18 23:14:15","2005-08-22 20:23:15",4,183,2.99,PG,Foreign,3.99
6,"AGENT TRUMAN",31,"2005-08-02 13:54:26","2005-08-10 19:04:26",8,204,2.99,PG,Foreign,7.99
6,"AGENT TRUMAN",26,"2005-07-08 06:40:06","2005-07-16 05:51:06",8,506,2.99,PG,Foreign,7.99
6,"AGENT TRUMAN",30,"2005-07-28 08:00:38","2005-08-02 06:14:38",5,537,2.99,PG,Foreign,4.99
6,"AGENT TRUMAN",26,"2005-05-26 23:23:56","2005-06-01 19:56:56",6,391,2.99,PG,Foreign,5.99
6,"AGENT TRUMAN",30,"2005-06-19 04:19:04","2005-06-26 04:31:04",7,213,2.99,PG,Foreign,6.99
6,"AGENT TRUMAN",29,"2005-08-18 13:31:45","2005-08-25 08:26:45",7,527,2.99,PG,Foreign,6.99
6,"AGENT TRUMAN",29,"2005-07-10 15:11:54","2005-07-15 11:51:54",5,108,2.99,PG,Foreign,4.99
6,"AGENT TRUMAN",28,"2005-07-29 01:11:23","2005-07-31 01:53:23",2,5,2.99,PG,Foreign,2.99
6,"AGENT TRUMAN",27,"2005-08-01 11:55:33","2005-08-08 16:42:33",7,14,2.99,PG,Foreign,6.99
6,"AGENT TRUMAN",27,"2005-06-20 07:33:38","2005-06-29 11:45:38",9,46,2.99,PG,Foreign,8.99
6,"AGENT TRUMAN",31,"2005-08-21 16:03:01","2005-08-26 13:09:01",5,38,2.99,PG,Foreign,4.99
6,"AGENT TRUMAN",26,"2005-07-29 04:52:10","2005-07-30 04:01:10",1,585,2.99,PG,Foreign,2.99
6,"AGENT TRUMAN",30,"2005-08-18 11:31:34","2005-08-23 12:04:34",5,214,2.99,PG,Foreign,4.99
6,"AGENT TRUMAN",26,"2005-06-21 15:11:02","2005-06-25 14:12:02",4,45,2.99,PG,Foreign,3.99
6,"AGENT TRUMAN",30,"2005-07-06 12:40:38","2005-07-11 09:29:38",5,320,2.99,PG,Foreign,4.99
6,"AGENT TRUMAN",30,"2005-05-26 15:32:46","2005-06-04 15:27:46",9,482,2.99,PG,Foreign,8.99
