1,709,"RACER EGG",3232,"2005-08-02 15:36:52","2005-08-10 16:40:52",8,2.99,NC-17,Drama,3.99
1,611,"MUSKETEERS WAIT",2785,"2005-06-15 00:54:12","2005-06-23 02:42:12",8,4.99,PG,Classics,5.99
1,341,"FROST HEAD",1558,"2005-07-28 17:33:39","2005-07-29 20:17:39",1,0.99,PG,Classics,0.99
1,929,"USUAL UNTOUCHABLES",4268,"2005-07-28 16:18:23","2005-07-30 17:56:23",2,4.99,PG-13,Foreign,4.99
1,294,"EXPECATIONS NATURAL",1330,"2005-07-11 10:13:46","2005-07-19 13:15:46",8,4.99,PG-13,Travel,7.99
1,317,"FIREBALL PHILADELPHIA",1449,"2005-08-22 01:27:57","2005-08-27 07:01:57",5,0.99,PG,Comedy,1.99
1,764,"SATURDAY LAMBS",3486,"2005-07-08 07:33:56","2005-07-12 13:25:56",4,4.99,G,Sports,5.99
1,317,"FIREBALL PHILADELPHIA",1446,"2005-08-22 19:41:37","2005-08-28 22:49:37",6,0.99,PG,Comedy,2.99
1,766,"SAVANNAH TOWN",3497,"2005-06-18 13:33:59","2005-06-19 17:40:59",1,0.99,PG-13,Drama,0.99
1,22,"AMISTAD MIDSUMMER",108,"2005-07-29 03:58:49","2005-08-01 05:16:49",3,2.99,G,New,2.99
1,663,"PATIENT SISTER",3021,"2005-05-25 11:30:37","2005-06-03 12:00:37",9,0.99,NC-17,Classics,2.99
1,3,"ADAPTATION HOLES",14,"2005-08-01 08:51:04","2005-08-10 12:12:04",9,2.99,NC-17,Documentary,4.99
1,539,"LUCK OPUS",2465,"2005-07-27 11:31:22","2005-07-31 06:50:22",4,2.99,NC-17,Drama,2.99
1,814,"SNATCH SLIPPER",3726,"2005-07-09 13:24:07","2005-07-14 14:01:07",5,4.99,PG,Comedy,4.99
1,315,"FINDING ANACONDA",1440,"2005-08-02 18:01:38","2005-08-04 13:19:38",2,0.99,R,Family,0.99
1,490,"JUMANJI BLADE",2269,"2005-08-19 13:56:54","2005-08-23 08:50:54",4,2.99,G,New,2.99
1,579,"MINDS TRUMAN",2639,"2005-08-17 12:37:54","2005-08-19 10:11:54",2,4.99,PG-13,Action,4.99
1,480,"JEEPERS WEDDING",2219,"2005-07-31 02:42:18","2005-08-02 23:26:18",2,2.99,R,Classics,2.99
1,243,"DOORS PRESIDENT",1092,"2005-07-28 09:04:45","2005-07-30 12:37:45",2,4.99,NC-17,Animation,4.99
1,924,"UNFORGIVEN ZOOLANDER",4249,"2005-08-21 23:33:57","2005-08-23 01:30:57",2,0.99,PG,Sci-Fi,0.99
1,70,"BIKINI BORROWERS",312,"2005-08-22 20:03:46","2005-08-30 01:51:46",8,4.99,NC-17,Animation,5.99
1,663,"PATIENT SISTER",3019,"2005-08-19 09:55:16","2005-08-20 14:44:16",1,0.99,NC-17,Classics,0.99
1,204,"DALMATIONS SWEDEN",921,"2005-08-18 03:57:29","2005-08-22 23:05:29",4,0.99,PG,Drama,0.99
1,875,"TALENTED HOMICIDE",4020,"2005-05-28 10:35:23","2005-06-03 06:32:23",6,0.99,PG,Sports,0.99
1,997,"YOUTH KICK",4566,"2005-06-21 06:24:45","2005-06-28 03:28:45",7,0.99,NC-17,Music,3.99
1,982,"WOMEN DORADO",4497,"2005-07-28 19:20:07","2005-07-29 22:54:07",1,0.99,R,Action,0.99
1,159,"CLOSER BANG",726,"2005-06-16 15:18:57","2005-06-17 21:05:57",1,4.99,R,Comedy,4.99
1,44,"ATTACKS HATE",197,"2005-06-18 08:41:48","2005-06-22 03:36:48",4,4.99,PG-13,Sci-Fi,4.99
1,174,"CONFIDENTIAL INTERVIEW",797,"2005-07-09 16:38:01","2005-07-13 18:02:01",4,4.99,NC-17,Music,4.99
1,316,"FIRE WOLVES",1443,"2005-07-08 03:17:05","2005-07-14 01:19:05",6,4.99,R,Games,5.99
1,308,"FERRIS MOTHER",1407,"2005-06-15 21:08:46","2005-06-25 02:26:46",10,2.99,PG,Comedy,9.99
1,228,"DETECTIVE VISION",1021,"2005-06-15 18:02:53","2005-06-19 15:54:53",4,0.99,PG-13,Classics,0.99
2,678,"PICKUP DRIVING",3084,"2005-07-30 22:39:53","2005-08-06 16:43:53",7,2.99,G,Sports,6.99
2,879,"TELEGRAPH VOYAGE",4038,"2005-07-29 17:14:29","2005-08-02 16:01:29",4,4.99,PG,Music,5.99
