1,3019,663,"PATIENT SISTER"
1,4497,982,"WOMEN DORADO"
1,3726,814,"SNATCH SLIPPER"
1,1021,228,"DETECTIVE VISION"
1,797,174,"CONFIDENTIAL INTERVIEW"
1,921,204,"DALMATIONS SWEDEN"
1,3021,663,"PATIENT SISTER"
1,14,3,"ADAPTATION HOLES"
1,1443,316,"FIRE WOLVES"
1,1407,308,"FERRIS MOTHER"
1,2465,539,"LUCK OPUS"
1,1558,341,"FROST HEAD"
1,4566,997,"YOUTH KICK"
1,726,159,"CLOSER BANG"
1,3486,764,"SATURDAY LAMBS"
1,1330,294,"EXPECATIONS NATURAL"
1,3232,709,"RACER EGG"
1,312,70,"BIKINI BORROWERS"
1,2639,579,"MINDS TRUMAN"
1,1092,243,"DOORS PRESIDENT"
1,197,44,"ATTACKS HATE"
1,1446,317,"FIREBALL PHILADELPHIA"
1,4249,924,"UNFORGIVEN ZOOLANDER"
1,4020,875,"TALENTED HOMICIDE"
1,3497,766,"SAVANNAH TOWN"
1,2219,480,"JEEPERS WEDDING"
1,2785,611,"MUSKETEERS WAIT"
1,1440,315,"FINDING ANACONDA"
1,108,22,"AMISTAD MIDSUMMER"
1,2269,490,"JUMANJI BLADE"
1,1449,317,"FIREBALL PHILADELPHIA"
1,4268,929,"USUAL UNTOUCHABLES"
2,4030,878,"TEEN APOLLO"
2,3142,690,"POND SEATTLE"
2,2760,606,"MUMMY CREATURES"
2,741,162,"CLUELESS BUCKET"
2,2898,637,"OPEN AFRICAN"
2,3418,748,"RUGRATS SHAKESPEARE"
2,1382,303,"FANTASY TROOPERS"
2,138,27,"ANONYMOUS HUMAN"
2,1090,243,"DOORS PRESIDENT"
2,2060,447,"ICE CROSSING"
2,488,109,"BUTTERFLY CHOCOLAT"
2,3164,694,"PREJUDICE OLEANDER"
2,352,78,"BLACKOUT PRIVATE"
2,2179,471,"ISLAND EXORCIST"
2,1521,331,"FORWARD TEMPLE"
2,2053,446,"HYSTERICAL GRAIL"
