2;Software (Anwendung);7782;9
2;Software (Anwendung);6186;9
2;Software (Betriebssystem);10851;8
2;Software (Anwendung);4669;9
2;Software (Anwendung);12889;9
2;Software (Anwendung);10246;9
2;Software (Anwendung);11128;9
2;Monitor;1001;2
2;Mainboard;10246;7
2;Software (Anwendung);1001;9
2;Software (Anwendung);8059;9
2;Monitor;5619;2
2;Mainboard;3769;7
2;Drucker;3767;4
2;Festplatte;8926;1
2;Software (Betriebssystem);12889;8
2;Grafikkarten;1722;6
2;Festplatte;12889;1
2;Software (Anwendung);11128;9
2;Mainboard;5619;7
2;Software (Anwendung);6186;9
2;Software (Anwendung);7782;9
2;Software (Anwendung);3769;9
2;Software (Anwendung);7782;9
2;Software (Anwendung);3769;9
2;Grafikkarten;8926;6
2;Software (Anwendung);8926;9
2;Grafikkarten;6186;6
2;Software (Anwendung);10246;9
2;Software (Anwendung);3767;9
2;Software (Anwendung);7782;9
2;Software (Betriebssystem);8926;8
2;Software (Anwendung);3767;9
2;Software (Anwendung);10851;9
2;Software (Anwendung);10851;9
2;Festplatte;5619;1
2;Software (Anwendung);8926;9
2;Software (Anwendung);10572;9
2;Monitor;4669;2
2;Drucker;8926;4
2;Software (Anwendung);10572;9
2;Software (Anwendung);8926;9
2;Software (Anwendung);1001;9
2;Software (Anwendung);3767;9
2;Software (Anwendung);6186;9
2;Software (Anwendung);8059;9
2;Software (Anwendung);7782;9
2;Drucker;11128;4
2;Software (Anwendung);8059;9
2;Software (Anwendung);7782;9
2;Software (Anwendung);3769;9
2;Software (Anwendung);3767;9
2;Software (Betriebssystem);3769;8
2;Grafikkarten;3767;6
2;Monitor;4669;2
2;Software (Anwendung);8059;9
2;Drucker;6186;4
2;Software (Anwendung);10851;9
2;Grafikkarten;10572;6
2;Grafikkarten;12889;6
2;Monitor;8926;2
2;Software (Anwendung);3767;9
2;Software (Anwendung);5619;9
2;Grafikkarten;6186;6
2;Festplatte;7782;1
3;Drucker;4176;4
3;Mainboard;7137;7
3;Software (Anwendung);5703;9
3;Monitor;10285;2
3;Software (Anwendung);7919;9
3;Software (Anwendung);10285;9
3;Mainboard;11777;7
3;Software (Betriebssystem);8897;8
3;Software (Anwendung);1745;9
3;Software (Anwendung);1745;9
3;Software (Betriebssystem);8897;8
3;Software (Anwendung);3119;9
3;Software (Anwendung);2494;9
3;Software (Anwendung);5703;9
3;Software (Anwendung);13006;9
3;Software (Anwendung);3004;9
3;Monitor;3004;2
3;Mainboard;7729;7
3;Software (Anwendung);13006;9
3;Software (Anwendung);4176;9
3;Software (Anwendung);13006;9
3;Monitor;2494;2
3;Grafikkarten;13006;6
3;Software (Anwendung);8897;9
3;Software (Anwendung);3119;9
3;Grafikkarten;1745;6
3;Software (Anwendung);4545;9
3;Software (Anwendung);3597;9
3;Software (Anwendung);4176;9
3;Software (Anwendung);7729;9
3;Software (Anwendung);8897;9
3;Software (Anwendung);2058;9
3;Drucker;7919;4
3;Software (Anwendung);7137;9
3;Monitor;11490;2
3;Software (Anwendung);3642;9
3;Software (Anwendung);8897;9
3;Monitor;2494;2
3;Software (Anwendung);4545;9
3;Software (Anwendung);2494;9
3;Software (Anwendung);7137;9
3;Monitor;13006;2
3;Software (Anwendung);3597;9
3;Monitor;3642;2
3;Festplatte;7919;1
3;Software (Anwendung);3004;9
3;Mainboard;10285;7
3;Mainboard;7137;7
3;Software (Anwendung);11490;9
3;Software (Betriebssystem);4545;8
3;Monitor;11490;2
3;Software (Anwendung);1745;9
3;Software (Anwendung);11490;9
3;Mainboard;7919;7
3;Monitor;4545;2
3;Software (Anwendung);7729;9
3;Software (Anwendung);10285;9
3;Drucker;4176;4
3;Software (Anwendung);5703;9
3;Software (Anwendung);11490;9
3;Software (Anwendung);10285;9
3;Drucker;3597;4
3;Software (Anwendung);3642;9
3;Software (Anwendung);4176;9
3;Software (Anwendung);13006;9
3;Software (Anwendung);4176;9
3;Software (Betriebssystem);5703;8
3;Software (Anwendung);2494;9
3;Festplatte;8897;1
3;Software (Anwendung);10285;9
3;Software (Anwendung);5703;9
3;Software (Anwendung);2494;9
3;Software (Anwendung);7729;9
3;Monitor;3119;2
3;Software (Anwendung);7137;9
3;Drucker;3597;4
3;Drucker;8897;4
3;Software (Anwendung);1745;9
3;Drucker;11777;4
